프로그램명,프로그램 개요,콘텐츠명,제작구분,장르,소재분류,편성구분,등급분류,회차,부제,회차정보,상세내용,제작사,저작권소유,프로듀서,연출자,작가,진행자,출연자,기술,카메라,촬영일자,촬영장소,제작일자,검색어,아카이브형태,파일위치,방송일자
3.1운동 및 임시정부수립 100주년 특별기획 '대한민국을 만든 노래들',"2천 년 전부터 우리는 노래를 불렀다. 기쁠 때도 부르고 슬플 때도 불렀다. 나라를 빼앗기고 독립운동과 이산(離散)으로 중국, 러시아, 일본, 미국 등 해외를 떠돌던 20세기 초, 노래는 우리를 일깨운 민족의 소중한 DNA였다. 민주공화국 대한민국 100년을 노래를 통해 풀어낸다. 노래에 담긴 민족의 애환과 환희, 사람들의 숨겨진 이야기를 짧은 SPOT 형태의 미니 다큐로 제작, 캠페인 시리즈로 방송하여 음악을 통한 대한민국의 역사적 정체성을 밝힌다. 또한 국악방송과 KBS가 공동으로 기획, 제작하여 민족의 역사에서 빼놓을 수 없는 국악에 대한 비중을 확보하고 양사의 방송 송출을 통해 콘텐츠를 확산하고자 한다.",신흥무관학교' 교가,자체제작,지식/다큐,국악/무용/연희,,모든연령시청가,1,,"1911년 만주에 세워진 독립군양성기관 '신흥무관학교'. 총 3,500여 명에 달했던 독립투사들은 선조들의 기세를 이어받아 민족을 구하고 새로운 독립국가를 만들자는 결의를 담아 교가를 부르며 항쟁 의지를 북돋웠다. 졸업 후 각지로 흩어져 독립군으로 활약한 졸업생들은 외롭고 힘들 때마다 노래를 부르며 용기를 얻었다. 신흥무관학교 교가는 독립군가가 되었고 임시정부는 이 노래를 광복군가로 채택했다.",,"KBS, 국악방송",공동,이혜승,김영두 외,고은희 외,,,,,2018,,,,프로그램,XsanWork/Share Point/2019년 프로그램/2019 [KBS공동제작]대한민국을 만든 노래들/01.신흥무관학교 교가/마스터/신흥무관학교_master_최종본(방송본).mov,
3.1운동 및 임시정부수립 100주년 특별기획 '대한민국을 만든 노래들',"2천 년 전부터 우리는 노래를 불렀다. 기쁠 때도 부르고 슬플 때도 불렀다. 나라를 빼앗기고 독립운동과 이산(離散)으로 중국, 러시아, 일본, 미국 등 해외를 떠돌던 20세기 초, 노래는 우리를 일깨운 민족의 소중한 DNA였다. 민주공화국 대한민국 100년을 노래를 통해 풀어낸다. 노래에 담긴 민족의 애환과 환희, 사람들의 숨겨진 이야기를 짧은 SPOT 형태의 미니 다큐로 제작, 캠페인 시리즈로 방송하여 음악을 통한 대한민국의 역사적 정체성을 밝힌다. 또한 국악방송과 KBS가 공동으로 기획, 제작하여 민족의 역사에서 빼놓을 수 없는 국악에 대한 비중을 확보하고 양사의 방송 송출을 통해 콘텐츠를 확산하고자 한다.",신흥무관학교' 교가,자체제작,지식/다큐,국악/무용/연희,,,1,,"1911년 만주에 세워진 독립군양성기관 '신흥무관학교'. 총 3,500여 명에 달했던 독립투사들은 선조들의 기세를 이어받아 민족을 구하고 새로운 독립국가를 만들자는 결의를 담아 교가를 부르며 항쟁 의지를 북돋웠다. 졸업 후 각지로 흩어져 독립군으로 활약한 졸업생들은 외롭고 힘들 때마다 노래를 부르며 용기를 얻었다. 신흥무관학교 교가는 독립군가가 되었고 임시정부는 이 노래를 광복군가로 채택했다.",,"KBS, 국악방송",공동,이혜승,김영두 외,고은희 외,,,,,2018,,,,클린본,XsanWork/Share Point/2019년 프로그램/2019 [KBS공동제작]대한민국을 만든 노래들/01.신흥무관학교 교가/마스터/신흥무관학교가_CLN.mov,
3.1운동 및 임시정부수립 100주년 특별기획 '대한민국을 만든 노래들',"2천 년 전부터 우리는 노래를 불렀다. 기쁠 때도 부르고 슬플 때도 불렀다. 나라를 빼앗기고 독립운동과 이산(離散)으로 중국, 러시아, 일본, 미국 등 해외를 떠돌던 20세기 초, 노래는 우리를 일깨운 민족의 소중한 DNA였다. 민주공화국 대한민국 100년을 노래를 통해 풀어낸다. 노래에 담긴 민족의 애환과 환희, 사람들의 숨겨진 이야기를 짧은 SPOT 형태의 미니 다큐로 제작, 캠페인 시리즈로 방송하여 음악을 통한 대한민국의 역사적 정체성을 밝힌다. 또한 국악방송과 KBS가 공동으로 기획, 제작하여 민족의 역사에서 빼놓을 수 없는 국악에 대한 비중을 확보하고 양사의 방송 송출을 통해 콘텐츠를 확산하고자 한다.",유관순 열사가,자체제작,지식/다큐,국악/무용/연희,,모든연령시청가,2,,"1919년 3월 한반도를 뒤흔든 독립의 함성. 만세 운동의 열기를 천안 아우내 장터로 확산시킨 '유관순 열사가'는 당시 유관순의 항거를 담은 창작 판소리였다. 일본의 착취가 극에 달했던 1940년대 초 유관순, 안중근, 이준, 윤봉길 열사의 항일활동을 판소리로 창작한 명창 박동실. 소리는 해방과 함께 곳곳으로 퍼져나갔다. '유관순 열사가'는 식민지배에 대한 강력한 항의이자 뜨거웠던 항쟁에 대한 자부심의 노래였다.",,"KBS, 국악방송",공동,이혜승,김영두 외,고은희 외,,,,,2019,,,,프로그램,XsanWork/Share Point/2019년 프로그램/2019 [KBS공동제작]대한민국을 만든 노래들/02.유관순열사가/마스터/유관순 열사가_master_최종본(방송본).mov,
3.1운동 및 임시정부수립 100주년 특별기획 '대한민국을 만든 노래들',"2천 년 전부터 우리는 노래를 불렀다. 기쁠 때도 부르고 슬플 때도 불렀다. 나라를 빼앗기고 독립운동과 이산(離散)으로 중국, 러시아, 일본, 미국 등 해외를 떠돌던 20세기 초, 노래는 우리를 일깨운 민족의 소중한 DNA였다. 민주공화국 대한민국 100년을 노래를 통해 풀어낸다. 노래에 담긴 민족의 애환과 환희, 사람들의 숨겨진 이야기를 짧은 SPOT 형태의 미니 다큐로 제작, 캠페인 시리즈로 방송하여 음악을 통한 대한민국의 역사적 정체성을 밝힌다. 또한 국악방송과 KBS가 공동으로 기획, 제작하여 민족의 역사에서 빼놓을 수 없는 국악에 대한 비중을 확보하고 양사의 방송 송출을 통해 콘텐츠를 확산하고자 한다.",유관순 열사가,"The Beginning ECO
Finger Dance 
동해로부터 
사사보여의풍 
놀이",지식/다큐,국악/무용/연희,,모든연령시청가,2,,"1919년 3월 한반도를 뒤흔든 독립의 함성. 만세 운동의 열기를 천안 아우내 장터로 확산시킨 '유관순 열사가'는 당시 유관순의 항거를 담은 창작 판소리였다. 일본의 착취가 극에 달했던 1940년대 초 유관순, 안중근, 이준, 윤봉길 열사의 항일활동을 판소리로 창작한 명창 박동실. 소리는 해방과 함께 곳곳으로 퍼져나갔다. '유관순 열사가'는 식민지배에 대한 강력한 항의이자 뜨거웠던 항쟁에 대한 자부심의 노래였다.",,"KBS, 국악방송",공동,이혜승,김영두 외,고은희 외,,,,,2019,,,,클린본,XsanWork/Share Point/2019년 프로그램/2019 [KBS공동제작]대한민국을 만든 노래들/02.유관순열사가/마스터/유관순열사가_CLN.mov,
3.1운동 및 임시정부수립 100주년 특별기획 '대한민국을 만든 노래들',"2천 년 전부터 우리는 노래를 불렀다. 기쁠 때도 부르고 슬플 때도 불렀다. 나라를 빼앗기고 독립운동과 이산(離散)으로 중국, 러시아, 일본, 미국 등 해외를 떠돌던 20세기 초, 노래는 우리를 일깨운 민족의 소중한 DNA였다. 민주공화국 대한민국 100년을 노래를 통해 풀어낸다. 노래에 담긴 민족의 애환과 환희, 사람들의 숨겨진 이야기를 짧은 SPOT 형태의 미니 다큐로 제작, 캠페인 시리즈로 방송하여 음악을 통한 대한민국의 역사적 정체성을 밝힌다. 또한 국악방송과 KBS가 공동으로 기획, 제작하여 민족의 역사에서 빼놓을 수 없는 국악에 대한 비중을 확보하고 양사의 방송 송출을 통해 콘텐츠를 확산하고자 한다.",의거가,자체제작,지식/다큐,국악/무용/연희,,모든연령시청가,3,,안중근의 이토 히로부미 저격 그 날 이후 노래가 퍼졌다. 노래를 지은 이는 안중근과 암살을 공모했던 우덕순. 노래는 연해주의 한인들 사이에 퍼져 나갔다. 독립군들은 군가로 부르며 항일의 의지를 다졌다. ,,"KBS, 국악방송",공동,이혜승,김영두 외,고은희 외,,,,,2018,,,,프로그램,XsanWork/Share Point/2019년 프로그램/2019 [KBS공동제작]대한민국을 만든 노래들/03.의거가/마스터/3_의거가_master_0307.mov,
3.1운동 및 임시정부수립 100주년 특별기획 '대한민국을 만든 노래들',"2천 년 전부터 우리는 노래를 불렀다. 기쁠 때도 부르고 슬플 때도 불렀다. 나라를 빼앗기고 독립운동과 이산(離散)으로 중국, 러시아, 일본, 미국 등 해외를 떠돌던 20세기 초, 노래는 우리를 일깨운 민족의 소중한 DNA였다. 민주공화국 대한민국 100년을 노래를 통해 풀어낸다. 노래에 담긴 민족의 애환과 환희, 사람들의 숨겨진 이야기를 짧은 SPOT 형태의 미니 다큐로 제작, 캠페인 시리즈로 방송하여 음악을 통한 대한민국의 역사적 정체성을 밝힌다. 또한 국악방송과 KBS가 공동으로 기획, 제작하여 민족의 역사에서 빼놓을 수 없는 국악에 대한 비중을 확보하고 양사의 방송 송출을 통해 콘텐츠를 확산하고자 한다.",의거가,자체제작,지식/다큐,국악/무용/연희,,모든연령시청가,3,,안중근의 이토 히로부미 저격 그 날 이후 노래가 퍼졌다. 노래를 지은 이는 안중근과 암살을 공모했던 우덕순. 노래는 연해주의 한인들 사이에 퍼져 나갔다. 독립군들은 군가로 부르며 항일의 의지를 다졌다. ,,"KBS, 국악방송",공동,이혜승,김영두 외,고은희 외,,,,,2018,,,,클린본,XsanWork/Share Point/2019년 프로그램/2019 [KBS공동제작]대한민국을 만든 노래들/03.의거가/마스터/3_의거가_CP_0307.mov,
3.1운동 및 임시정부수립 100주년 특별기획 '대한민국을 만든 노래들',"2천 년 전부터 우리는 노래를 불렀다. 기쁠 때도 부르고 슬플 때도 불렀다. 나라를 빼앗기고 독립운동과 이산(離散)으로 중국, 러시아, 일본, 미국 등 해외를 떠돌던 20세기 초, 노래는 우리를 일깨운 민족의 소중한 DNA였다. 민주공화국 대한민국 100년을 노래를 통해 풀어낸다. 노래에 담긴 민족의 애환과 환희, 사람들의 숨겨진 이야기를 짧은 SPOT 형태의 미니 다큐로 제작, 캠페인 시리즈로 방송하여 음악을 통한 대한민국의 역사적 정체성을 밝힌다. 또한 국악방송과 KBS가 공동으로 기획, 제작하여 민족의 역사에서 빼놓을 수 없는 국악에 대한 비중을 확보하고 양사의 방송 송출을 통해 콘텐츠를 확산하고자 한다.",대한사람,자체제작,지식/다큐,국악/무용/연희,,모든연령시청가,4,,"1차 대전 당시 독일 프로이센 수용소에서 채록한 포로들의 음성이 담겨있다. 그들은 러시아군 소속의 한국인들이었다. 일제 탄압을 피해 연해주로 이동, 그후 러시아군에 입대한 이들은 조국의 노래를 부르며 민족정신을 잃지 않았다. 노래 '대한 사람'은 이역만리에서도 그들을 일으켜 세우는 주문이자 힘이었다.",,"KBS, 국악방송",공동,이혜승,김영두 외,고은희 외,,,,,2018,,,,프로그램,XsanWork/Share Point/2019년 프로그램/2019 [KBS공동제작]대한민국을 만든 노래들/04.대한사람/마스터/4_대한사람_Master.mov,
3.1운동 및 임시정부수립 100주년 특별기획 '대한민국을 만든 노래들',"2천 년 전부터 우리는 노래를 불렀다. 기쁠 때도 부르고 슬플 때도 불렀다. 나라를 빼앗기고 독립운동과 이산(離散)으로 중국, 러시아, 일본, 미국 등 해외를 떠돌던 20세기 초, 노래는 우리를 일깨운 민족의 소중한 DNA였다. 민주공화국 대한민국 100년을 노래를 통해 풀어낸다. 노래에 담긴 민족의 애환과 환희, 사람들의 숨겨진 이야기를 짧은 SPOT 형태의 미니 다큐로 제작, 캠페인 시리즈로 방송하여 음악을 통한 대한민국의 역사적 정체성을 밝힌다. 또한 국악방송과 KBS가 공동으로 기획, 제작하여 민족의 역사에서 빼놓을 수 없는 국악에 대한 비중을 확보하고 양사의 방송 송출을 통해 콘텐츠를 확산하고자 한다.",대한사람,자체제작,지식/다큐,국악/무용/연희,,모든연령시청가,4,,"1차 대전 당시 독일 프로이센 수용소에서 채록한 포로들의 음성이 담겨있다. 그들은 러시아군 소속의 한국인들이었다. 일제 탄압을 피해 연해주로 이동, 그후 러시아군에 입대한 이들은 조국의 노래를 부르며 민족정신을 잃지 않았다. 노래 '대한 사람'은 이역만리에서도 그들을 일으켜 세우는 주문이자 힘이었다.",,"KBS, 국악방송",공동,이혜승,김영두 외,고은희 외,,,,,2018,,,,클린본,XsanWork/Share Point/2019년 프로그램/2019 [KBS공동제작]대한민국을 만든 노래들/04.대한사람/마스터/4_대한사람_CP_0307.mov,
3.1운동 및 임시정부수립 100주년 특별기획 '대한민국을 만든 노래들',"2천 년 전부터 우리는 노래를 불렀다. 기쁠 때도 부르고 슬플 때도 불렀다. 나라를 빼앗기고 독립운동과 이산(離散)으로 중국, 러시아, 일본, 미국 등 해외를 떠돌던 20세기 초, 노래는 우리를 일깨운 민족의 소중한 DNA였다. 민주공화국 대한민국 100년을 노래를 통해 풀어낸다. 노래에 담긴 민족의 애환과 환희, 사람들의 숨겨진 이야기를 짧은 SPOT 형태의 미니 다큐로 제작, 캠페인 시리즈로 방송하여 음악을 통한 대한민국의 역사적 정체성을 밝힌다. 또한 국악방송과 KBS가 공동으로 기획, 제작하여 민족의 역사에서 빼놓을 수 없는 국악에 대한 비중을 확보하고 양사의 방송 송출을 통해 콘텐츠를 확산하고자 한다.",황성옛터,자체제작,지식/다큐,국악/무용/연희,,모든연령시청가,5,,원제목은 '황성의 적(跡)' 개성에 있는 고려궁 만월대 유적으로 추정된다. 일제는 한국인들이 노래에서 짓밟힌 식민지의 현실을 떠올릴 것을 우려해 결국 음반 발매를 금지시켰다. 그러나 노래는 망국의 슬픔을 어루만지며 가슴으로 스며들어 민족의 노래가 되었다.  ,,"KBS, 국악방송",공동,이혜승,김영두 외,고은희 외,,,,,2018,,,,프로그램,XsanWork/Share Point/2019년 프로그램/2019 [KBS공동제작]대한민국을 만든 노래들/05.황성옛터/마스터/5_황성옛터_master.mov,
3.1운동 및 임시정부수립 100주년 특별기획 '대한민국을 만든 노래들',"2천 년 전부터 우리는 노래를 불렀다. 기쁠 때도 부르고 슬플 때도 불렀다. 나라를 빼앗기고 독립운동과 이산(離散)으로 중국, 러시아, 일본, 미국 등 해외를 떠돌던 20세기 초, 노래는 우리를 일깨운 민족의 소중한 DNA였다. 민주공화국 대한민국 100년을 노래를 통해 풀어낸다. 노래에 담긴 민족의 애환과 환희, 사람들의 숨겨진 이야기를 짧은 SPOT 형태의 미니 다큐로 제작, 캠페인 시리즈로 방송하여 음악을 통한 대한민국의 역사적 정체성을 밝힌다. 또한 국악방송과 KBS가 공동으로 기획, 제작하여 민족의 역사에서 빼놓을 수 없는 국악에 대한 비중을 확보하고 양사의 방송 송출을 통해 콘텐츠를 확산하고자 한다.",황성옛터,자체제작,지식/다큐,국악/무용/연희,,모든연령시청가,5,,원제목은 '황성의 적(跡)' 개성에 있는 고려궁 만월대 유적으로 추정된다. 일제는 한국인들이 노래에서 짓밟힌 식민지의 현실을 떠올릴 것을 우려해 결국 음반 발매를 금지시켰다. 그러나 노래는 망국의 슬픔을 어루만지며 가슴으로 스며들어 민족의 노래가 되었다.  ,,"KBS, 국악방송",공동,이혜승,김영두 외,고은희 외,,,,,2018,,,,클린본,XsanWork/Share Point/2019년 프로그램/2019 [KBS공동제작]대한민국을 만든 노래들/05.황성옛터/마스터/5_황성옛터_CLN.mov,
